"District ID","Type","District Name","District Sort Order"
2,"F","FIRST DISTRICT",10
3,"F","SECOND DISTRICT",20
4,"F","THIRD DISTRICT",30
5,"F","FOURTH DISTRICT",40
6,"F","FIFTH DISTRICT",50
7,"F","SIXTH DISTRICT",60
8,"F","SEVENTH DISTRICT",70
9,"F","EIGHTH DISTRICT",80
10,"F","NINTH DISTRICT",90
1307,"S","BERKSHIRE, HAMPSHIRE, FRANKLIN & HAMPDEN DISTRICT",10
46,"S","BRISTOL & NORFOLK DISTRICT",20
21,"S","FIRST BRISTOL & PLYMOUTH DISTRICT",30
22,"S","SECOND BRISTOL & PLYMOUTH DISTRICT",40
23,"S","CAPE & ISLANDS DISTRICT",50
24,"S","FIRST ESSEX DISTRICT",60
25,"S","SECOND ESSEX DISTRICT",70
1308,"S","THIRD ESSEX DISTRICT",75
27,"S","FIRST ESSEX & MIDDLESEX DISTRICT",80
28,"S","SECOND ESSEX & MIDDLESEX DISTRICT",90
29,"S","HAMPDEN DISTRICT",110
30,"S","FIRST HAMPDEN & HAMPSHIRE DISTRICT",120
31,"S","SECOND HAMPDEN & HAMPSHIRE DISTRICT",130
1309,"S","HAMPSHIRE, FRANKLIN & WORCESTER DISTRICT",140
33,"S","FIRST MIDDLESEX DISTRICT",150
34,"S","SECOND MIDDLESEX DISTRICT",160
35,"S","THIRD MIDDLESEX DISTRICT",170
36,"S","FOURTH MIDDLESEX DISTRICT",180
1310,"S","FIFTH MIDDLESEX DISTRICT",190
38,"S","FIRST MIDDLESEX & NORFOLK DISTRICT",200
39,"S","SECOND MIDDLESEX & NORFOLK DISTRICT",210
1311,"S","MIDDLESEX & SUFFOLK DISTRICT",220
42,"S","MIDDLESEX & WORCESTER DISTRICT",230
43,"S","NORFOLK, BRISTOL & MIDDLESEX DISTRICT",240
44,"S","NORFOLK, BRISTOL & PLYMOUTH DISTRICT",250
45,"S","NORFOLK & PLYMOUTH DISTRICT",260
1313,"S","NORFOLK & SUFFOLK DISTRICT",265
47,"S","PLYMOUTH & BARNSTABLE DISTRICT",270
48,"S","FIRST PLYMOUTH & BRISTOL DISTRICT",290
49,"S","SECOND PLYMOUTH & BRISTOL DISTRICT",300
50,"S","PLYMOUTH & NORFOLK DISTRICT",310
51,"S","FIRST SUFFOLK DISTRICT",320
